snr_db,decoder,n_frames,ber,fer,ber_stage1,fer_stage1,stage2_invocation_rate,stage2_improve_rate_if_invoked,stage2_true_fix_rate_if_invoked,avg_stage1_bit_errors_if_invoked,p95_stage1_bit_errors_if_invoked,avg_stage1_syndrome_weight_if_invoked,p95_stage1_syndrome_weight_if_invoked,avg_stage1_error_span_if_invoked,p95_stage1_error_span_if_invoked,avg_stage1_error_runs_if_invoked,p95_stage1_error_runs_if_invoked,avg_stage1_block_concentration_if_invoked,p95_stage1_block_concentration_if_invoked,avg_snapshot_attempts_if_invoked,avg_snapshot_success_iter_if_fixed,primary_success_rate_if_invoked,fallback_success_rate_if_invoked,ai_gate_enabled,ai_gate_policy_mode,ai_gate_skip_rate,ai_gate_tiny_rate,ai_gate_full_rate,ai_gate_meta_rate,ai_gate_first_skip_rate,ai_gate_decision_count_mean_if_invoked,ai_gate_escalation_rate_if_invoked,ai_gate_confidence_mean_if_invoked,ai_gate_promise_mean_if_invoked,snapshot_success_at_4,snapshot_success_at_8,snapshot_success_at_12,snapshot_success_at_15
9.0,ldpc15,1258,0.022411154410588798,0.09538950715421304,0.022411154410588798,0.09538950715421304,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.0,hybairdtbroi15,1258,0.022411154410588798,0.09538950715421304,0.022411154410588798,0.09538950715421304,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,distilled_tree_bandit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.5,ldpc15,1586,0.016874258489594604,0.07566204287515763,0.016874258489594604,0.07566204287515763,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.5,hybairdtbroi15,1586,0.016874258489594604,0.07566204287515763,0.016874258489594604,0.07566204287515763,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,distilled_tree_bandit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.0,ldpc15,1944,0.0143828416063993,0.06172839506172839,0.0143828416063993,0.06172839506172839,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.0,hybairdtbroi15,1944,0.0143828416063993,0.06172839506172839,0.0143828416063993,0.06172839506172839,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,distilled_tree_bandit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.5,ldpc15,2418,0.011822542714649987,0.04962779156327544,0.011822542714649987,0.04962779156327544,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.5,hybairdtbroi15,2418,0.011822542714649987,0.04962779156327544,0.011822542714649987,0.04962779156327544,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,distilled_tree_bandit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11.0,ldpc15,3527,0.006276234642982369,0.03402324922030054,0.006276234642982369,0.03402324922030054,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11.0,hybairdtbroi15,3527,0.006276234642982369,0.03402324922030054,0.006276234642982369,0.03402324922030054,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,distilled_tree_bandit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
