snr_db,decoder,n_frames,ber,fer,avg_iters,hw_cycles_mean,hw_cycles_p95,hw_cycles_p99,hw_cycles_max,hw_time_us_mean,hw_time_us_p95,hw_time_us_p99,hw_time_us_max,ber_stage1,fer_stage1,grand_invocation_rate,stage1_cycles_mean,stage1_cycles_p95,stage1_cycles_p99,stage1_cycles_max,grand_cycles_mean,grand_cycles_p95,grand_cycles_p99,grand_cycles_max,patterns_tested_mean,patterns_tested_p95,patterns_tested_p99,patterns_tested_max,patterns_evaluated_mean,patterns_evaluated_p95,patterns_evaluated_p99,patterns_evaluated_max,patterns_tested_mean_if_grand,patterns_tested_p95_if_grand,patterns_tested_p99_if_grand,patterns_tested_max_if_grand,patterns_evaluated_mean_if_grand,patterns_evaluated_p95_if_grand,patterns_evaluated_p99_if_grand,patterns_evaluated_max_if_grand,pre_solver_attempt_rate,pre_solver_success_rate_total,pre_solver_success_rate_if_attempted,peel_candidate_mean,peel_candidate_p95,peel_candidate_max,peel_residual_vars_mean,peel_residual_vars_p95,peel_residual_vars_max,chase_candidate_mean,chase_candidate_p95,chase_candidate_max,chase_candidates_tested_mean,chase_candidates_tested_p95,chase_candidates_tested_max,chase_ldpc_iters_mean,chase_ldpc_iters_p95,chase_ldpc_iters_max,osd_candidate_mean,osd_candidate_p95,osd_candidate_max,osd_candidates_tested_mean,osd_candidates_tested_p95,osd_candidates_tested_max,osd_free_dim_mean,osd_free_dim_p95,osd_free_dim_max,restart_num_runs_mean,restart_num_runs_p95,restart_num_runs_max,restart_ldpc_iters_mean,restart_ldpc_iters_p95,restart_ldpc_iters_max,restart_anchor_bits_mean,restart_anchor_bits_p95,restart_anchor_bits_max,disagreement_added_mean,disagreement_added_p95,disagreement_added_max
9.0,ldpc15,1258,0.022411154410588798,0.09538950715421304,6.598569157392687,9196.032591414943,21156.0,21156.0,21156.0,11.495040739268681,26.445,26.445,26.445,0.022411154410588798,0.09538950715421304,0.0,9196.032591414943,21156.0,21156.0,21156.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.0,hybairpwin15,1258,0.022411154410588798,0.09538950715421304,6.598569157392687,17032.485691573926,103551.3,103820.87,104014.0,21.290607114467406,129.439125,129.77608750000002,130.0175,0.022411154410588798,0.09538950715421304,0.09538950715421304,9196.032591414943,21156.0,21156.0,21156.0,7836.453100158982,82395.3,82664.87,82858.0,656.6613672496026,6884.0,6884.0,6884.0,656.6613672496026,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,0.09538950715421304,0.0,0.0,2.670906200317965,28.0,28.0,2.670906200317965,28.0,28.0,4.006359300476947,42.0,42.0,0.5723370429252782,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5723370429252782,6.0,6.0,3.4340222575516695,36.0,36.0,1.1446740858505564,12.0,12.0,0.0,0.0,0.0
9.5,ldpc15,1586,0.016874258489594604,0.07566204287515763,6.310214375788147,8789.17528373266,21156.0,21156.0,21156.0,10.986469104665826,26.445,26.445,26.445,0.016874258489594604,0.07566204287515763,0.0,8789.17528373266,21156.0,21156.0,21156.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.5,hybairpwin15,1586,0.016874258489594604,0.07566204287515763,6.310214375788147,15001.329129886506,103448.5,103802.1,104140.0,18.751661412358136,129.31062500000002,129.752625,130.175,0.016874258489594604,0.07566204287515763,0.07566204287515763,8789.17528373266,21156.0,21156.0,21156.0,6212.153846153846,82292.5,82646.1,82984.0,520.8575031525851,6884.0,6884.0,6884.0,520.8575031525851,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,0.07566204287515763,0.0,0.0,2.1185372005044134,28.0,28.0,2.1185372005044134,28.0,28.0,3.1778058007566203,42.0,42.0,0.45397225725094575,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45397225725094575,6.0,6.0,2.7238335435056746,36.0,36.0,0.9079445145018915,12.0,12.0,0.0,0.0,0.0
10.0,ldpc15,1944,0.0143828416063993,0.06172839506172839,5.978395061728395,8323.805555555555,21156.0,21156.0,21156.0,10.404756944444445,26.445,26.445,26.445,0.0143828416063993,0.06172839506172839,0.0,8323.805555555555,21156.0,21156.0,21156.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.0,hybairpwin15,1944,0.0143828416063993,0.06172839506172839,5.978395061728395,13395.58744855967,103274.0,103721.28,103978.0,16.744484310699587,129.0925,129.6516,129.9725,0.0143828416063993,0.06172839506172839,0.06172839506172839,8323.805555555555,21156.0,21156.0,21156.0,5071.781893004115,82118.0,82565.28,82822.0,424.9382716049383,6884.0,6884.0,6884.0,424.9382716049383,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,0.06172839506172839,0.0,0.0,1.728395061728395,28.0,28.0,1.728395061728395,28.0,28.0,2.5925925925925926,42.0,42.0,0.37037037037037035,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37037037037037035,6.0,6.0,2.2222222222222223,36.0,36.0,0.7407407407407407,12.0,12.0,0.0,0.0,0.0
10.5,ldpc15,2418,0.011822542714649987,0.04962779156327544,5.570306038047973,7753.085607940447,20835.0,21156.0,21156.0,9.691357009925557,26.04375,26.445,26.445,0.011822542714649987,0.04962779156327544,0.0,7753.085607940447,20835.0,21156.0,21156.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.5,hybairpwin15,2418,0.011822542714649987,0.04962779156327544,5.570306038047973,11808.523986765922,20835.0,103736.83,104043.0,14.760654983457401,26.04375,129.67103749999998,130.05375,0.011822542714649987,0.04962779156327544,0.04962779156327544,7753.085607940447,20835.0,21156.0,21156.0,4055.4383788254754,0.0,82580.83,82887.0,341.6377171215881,0.0,6884.0,6884.0,341.6377171215881,0.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,0.04962779156327544,0.0,0.0,1.3895781637717122,0.0,28.0,1.3895781637717122,0.0,28.0,2.0843672456575684,0.0,42.0,0.2977667493796526,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2977667493796526,0.0,6.0,1.7866004962779156,0.0,36.0,0.5955334987593052,0.0,12.0,0.0,0.0,0.0
11.0,ldpc15,3527,0.006276234642982369,0.03402324922030054,5.315282109441451,7393.848313013893,16668.0,21156.0,21156.0,9.242310391267367,20.835,26.445,26.445,0.006276234642982369,0.03402324922030054,0.0,7393.848313013893,16668.0,21156.0,21156.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11.0,hybairpwin15,3527,0.006276234642982369,0.03402324922030054,5.315282109441451,10178.032038559682,16668.0,103619.22,104015.0,12.722540048199603,20.835,129.524025,130.01875,0.006276234642982369,0.03402324922030054,0.03402324922030054,7393.848313013893,16668.0,21156.0,21156.0,2784.1837255457895,0.0,82463.22,82859.0,234.2160476325489,0.0,6884.0,6884.0,234.2160476325489,0.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,0.03402324922030054,0.0,0.0,0.952650978168415,0.0,28.0,0.952650978168415,0.0,28.0,1.4289764672526226,0.0,42.0,0.20413949532180323,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20413949532180323,0.0,6.0,1.2248369719308194,0.0,36.0,0.40827899064360645,0.0,12.0,0.0,0.0,0.0
