snr_db,decoder,n_frames,ber,fer,avg_iters,hw_cycles_mean,hw_cycles_p95,hw_cycles_p99,hw_cycles_max,hw_time_us_mean,hw_time_us_p95,hw_time_us_p99,hw_time_us_max,ber_stage1,fer_stage1,grand_invocation_rate,stage1_cycles_mean,stage1_cycles_p95,stage1_cycles_p99,stage1_cycles_max,grand_cycles_mean,grand_cycles_p95,grand_cycles_p99,grand_cycles_max,patterns_tested_mean,patterns_tested_p95,patterns_tested_p99,patterns_tested_max,patterns_evaluated_mean,patterns_evaluated_p95,patterns_evaluated_p99,patterns_evaluated_max,patterns_tested_mean_if_grand,patterns_tested_p95_if_grand,patterns_tested_p99_if_grand,patterns_tested_max_if_grand,patterns_evaluated_mean_if_grand,patterns_evaluated_p95_if_grand,patterns_evaluated_p99_if_grand,patterns_evaluated_max_if_grand,pre_solver_attempt_rate,pre_solver_success_rate_total,pre_solver_success_rate_if_attempted,peel_candidate_mean,peel_candidate_p95,peel_candidate_max,peel_residual_vars_mean,peel_residual_vars_p95,peel_residual_vars_max,chase_candidate_mean,chase_candidate_p95,chase_candidate_max,chase_candidates_tested_mean,chase_candidates_tested_p95,chase_candidates_tested_max,chase_ldpc_iters_mean,chase_ldpc_iters_p95,chase_ldpc_iters_max,osd_candidate_mean,osd_candidate_p95,osd_candidate_max,osd_candidates_tested_mean,osd_candidates_tested_p95,osd_candidates_tested_max,osd_free_dim_mean,osd_free_dim_p95,osd_free_dim_max,restart_num_runs_mean,restart_num_runs_p95,restart_num_runs_max,restart_ldpc_iters_mean,restart_ldpc_iters_p95,restart_ldpc_iters_max,restart_anchor_bits_mean,restart_anchor_bits_p95,restart_anchor_bits_max,disagreement_added_mean,disagreement_added_p95,disagreement_added_max
9.5,ldpc15,3140,0.015759796762522142,0.05732484076433121,5.023566878980891,6996.135668789809,21156.0,21156.0,21156.0,8.745169585987261,26.445,26.445,26.445,0.015759796762522142,0.05732484076433121,0.0,6996.135668789809,21156.0,21156.0,21156.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.5,hyb15,3140,0.015759796762522142,0.05732484076433121,5.023566878980891,20190.378343949043,250434.4,251783.98,252101.0,25.2379729299363,313.043,314.72997499999997,315.12625,0.015759796762522142,0.05732484076433121,0.05732484076433121,6996.135668789809,21156.0,21156.0,21156.0,13194.242675159236,229278.4,230627.98,230945.0,3019.5286624203823,52674.0,52674.0,52674.0,3019.5286624203823,52674.0,52674.0,52674.0,52674.0,52674.0,52674.0,52674.0,52674.0,52674.0,52674.0,52674.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.5,hybairesd15,3140,0.015759796762522142,0.05732484076433121,5.023566878980891,16955.468789808918,134364.35,143090.83,1614241.0,21.194335987261145,167.95543750000002,178.8635375,2017.80125,0.015759796762522142,0.05732484076433121,0.05732484076433121,6996.135668789809,21156.0,21156.0,21156.0,9959.333121019108,113208.34999999999,121934.83,1593085.0,687.9882165605095,4943.0,6884.0,199032.0,687.9882165605095,4943.0,6884.0,199032.0,12001.572222222223,13768.0,192148.0,199032.0,12001.572222222223,13768.0,192148.0,199032.0,0.05732484076433121,0.0,0.0,2.039490445859873,31.0,131.0,2.039490445859873,31.0,131.0,3.0729299363057323,47.0,190.0,0.5312101910828025,8.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5490445859872611,8.0,44.0,4.89171974522293,64.0,576.0,2.8187898089171974,16.0,859.0,0.0,0.0,0.0
10.0,ldpc15,3225,0.014827416173570019,0.05581395348837209,4.862945736434108,6772.547906976744,21156.0,21156.0,21156.0,8.46568488372093,26.445,26.445,26.445,0.014827416173570019,0.05581395348837209,0.0,6772.547906976744,21156.0,21156.0,21156.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.0,hyb15,3225,0.014827416173570019,0.05581395348837209,4.862945736434108,19616.67627906977,250227.8,251801.0,252031.0,24.520845348837213,312.78475,314.75125,315.03875,0.014827416173570019,0.05581395348837209,0.05581395348837209,6772.547906976744,21156.0,21156.0,21156.0,12844.128372093024,229071.8,230645.0,230875.0,2939.9441860465117,52674.0,52674.0,52674.0,2939.9441860465117,52674.0,52674.0,52674.0,52674.0,52674.0,52674.0,52674.0,52674.0,52674.0,52674.0,52674.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,hybairesd15,3497,0.014535387897995408,0.05147269087789534,4.8676008006863025,57681.8072633686,134687.4,1464212.64,1620979.0,72.10225907921074,168.35925,1830.2658000000001,2026.22375,0.014737484200320478,0.05547612239062053,0.05547612239062053,6778.905347440664,21156.0,21156.0,21156.0,50902.90191592794,113531.4,1443056.64,1599823.0,5204.187303402917,4943.0,158970.0,192148.0,5204.187303402917,4943.0,158970.0,192148.0,93809.5,192148.0,192148.0,192148.0,93809.5,192148.0,192148.0,192148.0,0.05547612239062053,0.004003431512725193,0.07216494845360824,4.156419788390049,31.0,100.0,4.156419788390049,31.0,100.0,6.392908207034601,47.0,143.0,1.1627108950529026,8.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4452387760937946,8.0,36.0,19.387474978553044,64.0,512.0,30.144123534458107,16.0,844.0,0.0,0.0,0.0
10.5,ldpc15,4943,0.0097074474452546,0.03641513251062108,4.558365365162857,6343.258749747117,15279.0,21156.0,21156.0,7.929073437183896,19.09875,26.445,26.445,0.0097074474452546,0.03641513251062108,0.0,6343.258749747117,15279.0,21156.0,21156.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.5,hyb15,4943,0.0097074474452546,0.03641513251062108,4.558365365162857,14724.991705442038,15279.0,251739.0,251987.0,18.406239631802553,19.09875,314.67375,314.98375,0.0097074474452546,0.03641513251062108,0.03641513251062108,6343.258749747117,15279.0,21156.0,21156.0,8381.732955694923,0.0,230583.0,230831.0,1918.1306898644548,0.0,52674.0,52674.0,1918.1306898644548,0.0,52674.0,52674.0,52674.0,52674.0,52674.0,52674.0,52674.0,52674.0,52674.0,52674.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.5,hybairesd15,5340,0.009635122332291735,0.033707865168539325,4.560861423220974,53473.01011235955,15279.0,1462810.74,2940731.0,66.84126264044944,19.09875,1828.5134249999999,3675.91375,0.009737065908738338,0.03670411985018727,0.03670411985018727,6346.818539325843,15279.0,21156.0,21156.0,47126.191573033706,0.0,1441654.74,2919575.0,4893.113670411985,0.0,158970.0,384296.0,4893.113670411985,0.0,158970.0,384296.0,133312.3826530612,192148.0,196850.25000000108,384296.0,133312.3826530612,192148.0,196850.25000000108,384296.0,0.03670411985018727,0.00299625468164794,0.08163265306122448,3.4726591760299628,0.0,200.0,3.4726591760299628,0.0,200.0,5.265543071161049,0.0,286.0,0.9867041198501872,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2636704119850186,0.0,72.0,17.795318352059926,0.0,1024.0,29.245880149812734,0.0,1687.0,0.0,0.0,0.0
11.0,ldpc15,5669,0.00881849511669925,0.0317516316810725,4.406597283471512,6130.955900511554,13890.0,21156.0,21156.0,7.663694875639443,17.3625,26.445,26.445,0.00881849511669925,0.0317516316810725,0.0,6130.955900511554,13890.0,21156.0,21156.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
