snr_db,decoder,n_frames,ber,fer,ber_stage1,fer_stage1,stage2_invocation_rate,stage2_improve_rate_if_invoked,stage2_true_fix_rate_if_invoked,avg_stage1_bit_errors_if_invoked,p95_stage1_bit_errors_if_invoked,avg_stage1_syndrome_weight_if_invoked,p95_stage1_syndrome_weight_if_invoked,avg_stage1_error_span_if_invoked,p95_stage1_error_span_if_invoked,avg_stage1_error_runs_if_invoked,p95_stage1_error_runs_if_invoked,avg_stage1_block_concentration_if_invoked,p95_stage1_block_concentration_if_invoked,avg_snapshot_attempts_if_invoked,avg_snapshot_success_iter_if_fixed,primary_success_rate_if_invoked,fallback_success_rate_if_invoked,probe_invocation_rate,probe_success_rate_if_invoked,probe_escalation_rate_if_invoked,probe_syndrome_drop_mean_if_invoked,ai_gate_enabled,ai_gate_policy_mode,ai_gate_skip_rate,ai_gate_tiny_rate,ai_gate_full_rate,ai_gate_meta_rate,ai_gate_first_skip_rate,ai_gate_decision_count_mean_if_invoked,ai_gate_escalation_rate_if_invoked,ai_gate_confidence_mean_if_invoked,ai_gate_promise_mean_if_invoked,ai_gate_skip_rate_if_failed,ai_gate_tiny_rate_if_failed,ai_gate_full_rate_if_failed,ai_gate_meta_rate_if_failed,ai_gate_first_skip_rate_if_failed,ai_gate_decision_count_mean_if_failed,ai_gate_escalation_rate_if_failed,ai_gate_confidence_mean_if_failed,ai_gate_promise_mean_if_failed,snapshot_success_at_4
10.0,ldpc15,3225,0.014827416173570019,0.05581395348837209,0.014827416173570019,0.05581395348837209,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.0,hyb15,3225,0.014827416173570019,0.05581395348837209,0.014827416173570019,0.05581395348837209,0.05581395348837209,0.0,0.0,1436.6777777777777,2142.2,1501.7166666666667,2058.15,5242.3388888888885,5408.0,851.0833333333334,1152.25,0.019665226743867,0.04737753570079774,1.0,nan,1.0,nan,0.0,nan,nan,nan,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0
10.0,hybairesd215,3497,0.014535387897995408,0.05147269087789534,0.014737484200320478,0.05547612239062053,0.05547612239062053,0.07216494845360824,0.07216494845360824,1436.659793814433,2140.7,1502.7474226804125,2056.7,5250.180412371134,5408.0,852.639175257732,1153.75,0.018940515854616754,0.0458245251327753,1.0,4.0,0.0,0.0,1.0,0.0,0.6855670103092784,0.12710561595626713,1.0,probe_moe_roi_fix,0.0,0.31443298969072164,0.6855670103092784,0.0,0.0,1.0,0.6855670103092784,0.746255906894035,-0.029148144941217716,0.0,0.31443298969072164,0.6855670103092784,0.0,0.0,1.0,0.6855670103092784,0.746255906894035,-0.029148144941217716,0.07216494845360824
10.5,ldpc15,4943,0.0097074474452546,0.03641513251062108,0.0097074474452546,0.03641513251062108,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.5,hyb15,4943,0.0097074474452546,0.03641513251062108,0.0097074474452546,0.03641513251062108,0.03641513251062108,0.0,0.0,1441.65,2113.05,1528.1833333333334,2080.2999999999997,5250.116666666667,5408.0,851.9777777777778,1138.1,0.018469742822667792,0.0466860463842749,1.0,nan,1.0,nan,0.0,nan,nan,nan,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0
10.5,hybairesd215,5340,0.009635122332291735,0.033707865168539325,0.009737065908738338,0.03670411985018727,0.03670411985018727,0.08163265306122448,0.08163265306122448,1434.6632653061224,2104.0,1523.7755102040817,2077.75,5227.0,5408.0,847.8316326530612,1135.0,0.01890515742291297,0.06411637924611568,1.0,4.0,0.0,0.0,1.0,0.0,0.9795918367346939,0.1149571859182752,1.0,probe_moe_roi_fix,0.0,0.02040816326530612,0.9795918367346939,0.0,0.0,1.0,0.9795918367346939,0.7462343886798742,-0.0319784527323185,0.0,0.02040816326530612,0.9795918367346939,0.0,0.0,1.0,0.9795918367346939,0.7462343886798742,-0.0319784527323185,0.08163265306122448
11.0,ldpc15,5669,0.00881849511669925,0.0317516316810725,0.00881849511669925,0.0317516316810725,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11.0,hyb15,5669,0.00881849511669925,0.0317516316810725,0.00881849511669925,0.0317516316810725,0.0317516316810725,0.0,0.0,1501.9833333333333,2141.2,1564.6055555555556,2083.1,5191.922222222222,5408.0,882.7333333333333,1159.35,0.024673583878514666,0.0772435925900935,1.0,nan,1.0,nan,0.0,nan,nan,nan,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0
11.0,hybairesd215,6174,0.008688552203073395,0.029154518950437316,0.008766482078883963,0.0319080012957564,0.0319080012957564,0.08629441624365482,0.08629441624365482,1485.8071065989848,2133.0,1553.2994923857868,2087.2,5199.197969543147,5408.0,874.0913705583756,1156.6,0.023890673031623896,0.07753846347331997,1.0,4.0,0.0,0.0,1.0,0.0,0.9746192893401016,0.10959124714514326,1.0,probe_moe_roi_fix,0.0,0.025380710659898477,0.9746192893401016,0.0,0.0,1.0,0.9746192893401016,0.7462442692766335,-0.032820753393893315,0.0,0.025380710659898477,0.9746192893401016,0.0,0.0,1.0,0.9746192893401016,0.7462442692766335,-0.032820753393893315,0.08629441624365482
11.5,ldpc15,7879,0.005723025254008296,0.022845538773956085,0.005723025254008296,0.022845538773956085,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11.5,hyb15,7879,0.005723025254008296,0.022845538773956085,0.005723025254008296,0.022845538773956085,0.022845538773956085,0.0,0.0,1354.7555555555555,2074.3499999999995,1430.9166666666667,2058.2999999999997,5119.227777777778,5408.0,804.2444444444444,1152.1,0.030382132155096366,0.10000000149011612,1.0,nan,1.0,nan,0.0,nan,nan,nan,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0
11.5,hybairesd215,8644,0.005882205463173142,0.020823692734844978,0.0059061001714087,0.023253123553910227,0.023253123553910227,0.1044776119402985,0.1044776119402985,1373.5870646766168,2096.0,1451.228855721393,2064.0,5136.1592039801,5408.0,812.5472636815921,1152.0,0.02839582900641792,0.095238097012043,1.0,4.0,0.0,0.0,1.0,0.0,0.9552238805970149,0.12788537105740005,1.0,probe_moe_roi_fix,0.0,0.04477611940298507,0.9552238805970149,0.0,0.0,1.0,0.9552238805970149,0.7462573878800691,-0.034209736273189614,0.0,0.04477611940298507,0.9552238805970149,0.0,0.0,1.0,0.9552238805970149,0.7462573878800691,-0.034209736273189614,0.1044776119402985
12.0,ldpc15,9534,0.004948247350187371,0.018879798615481436,0.004948247350187371,0.018879798615481436,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12.0,hyb15,9534,0.004948247350187371,0.018879798615481436,0.004948247350187371,0.018879798615481436,0.018879798615481436,0.0,0.0,1417.3944444444444,2110.1,1503.138888888889,2059.1,5259.1611111111115,5408.0,836.9666666666667,1129.1999999999998,0.013237602095533577,0.048973040655255255,1.0,nan,1.0,nan,0.0,nan,nan,nan,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0
12.0,hybairesd215,10537,0.0049244441817590644,0.01708266109898453,0.00504182781104398,0.019265445572743664,0.019265445572743664,0.11330049261083744,0.11330049261083744,1415.2906403940888,2109.2,1501.1083743842364,2058.7,5252.64039408867,5408.0,835.6009852216749,1132.6,0.013220434581741618,0.048664342239499066,1.0,4.0,0.0,0.0,1.0,0.0,0.9901477832512315,0.12094625955438379,1.0,probe_moe_roi_fix,0.0,0.009852216748768473,0.9901477832512315,0.0,0.0,1.0,0.9901477832512315,0.7462594655934226,-0.037103419732348306,0.0,0.009852216748768473,0.9901477832512315,0.0,0.0,1.0,0.9901477832512315,0.7462594655934226,-0.037103419732348306,0.11330049261083744
12.5,ldpc15,13517,0.003498676113752001,0.013316564326403787,0.003498676113752001,0.013316564326403787,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12.5,hyb15,13517,0.003498676113752001,0.013316564326403787,0.003498676113752001,0.013316564326403787,0.013316564326403787,0.0,0.0,1420.85,2056.4499999999994,1495.0333333333333,2084.2,5193.794444444445,5408.0,832.7444444444444,1113.05,0.023696147627197205,0.057619048096239404,1.0,nan,1.0,nan,0.0,nan,nan,nan,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0
