snr_db,decoder,n_frames,ber,fer,avg_iters,hw_cycles_mean,hw_cycles_p95,hw_cycles_p99,hw_cycles_max,hw_time_us_mean,hw_time_us_p95,hw_time_us_p99,hw_time_us_max,ber_stage1,fer_stage1,grand_invocation_rate,stage1_cycles_mean,stage1_cycles_p95,stage1_cycles_p99,stage1_cycles_max,grand_cycles_mean,grand_cycles_p95,grand_cycles_p99,grand_cycles_max,patterns_tested_mean,patterns_tested_p95,patterns_tested_p99,patterns_tested_max,patterns_evaluated_mean,patterns_evaluated_p95,patterns_evaluated_p99,patterns_evaluated_max,patterns_tested_mean_if_grand,patterns_tested_p95_if_grand,patterns_tested_p99_if_grand,patterns_tested_max_if_grand,patterns_evaluated_mean_if_grand,patterns_evaluated_p95_if_grand,patterns_evaluated_p99_if_grand,patterns_evaluated_max_if_grand,pre_solver_attempt_rate,pre_solver_success_rate_total,pre_solver_success_rate_if_attempted,peel_candidate_mean,peel_candidate_p95,peel_candidate_max,peel_residual_vars_mean,peel_residual_vars_p95,peel_residual_vars_max,chase_candidate_mean,chase_candidate_p95,chase_candidate_max,chase_candidates_tested_mean,chase_candidates_tested_p95,chase_candidates_tested_max,chase_ldpc_iters_mean,chase_ldpc_iters_p95,chase_ldpc_iters_max,osd_candidate_mean,osd_candidate_p95,osd_candidate_max,osd_candidates_tested_mean,osd_candidates_tested_p95,osd_candidates_tested_max,osd_free_dim_mean,osd_free_dim_p95,osd_free_dim_max,restart_num_runs_mean,restart_num_runs_p95,restart_num_runs_max,restart_ldpc_iters_mean,restart_ldpc_iters_p95,restart_ldpc_iters_max,restart_anchor_bits_mean,restart_anchor_bits_p95,restart_anchor_bits_max,disagreement_added_mean,disagreement_added_p95,disagreement_added_max
9.5,ldpc15,2139,0.014972537352243902,0.056100981767180924,5.005610098176718,6970.800841514727,21156.0,21156.0,21156.0,8.713501051893408,26.445,26.445,26.445,0.014972537352243902,0.056100981767180924,0.0,6970.800841514727,21156.0,21156.0,21156.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.5,hybairshadow15,2139,0.014972537352243902,0.056100981767180924,5.005610098176718,10049.653108929406,66677.2,66936.86,415752.0,12.562066386161758,83.34649999999999,83.671075,519.69,0.014972537352243902,0.056100981767180924,0.056100981767180924,6970.800841514727,21156.0,21156.0,21156.0,3078.85226741468,45521.2,45780.86,394596.0,349.0981767180926,4943.0,4943.0,59480.0,349.0981767180926,4943.0,4943.0,59480.0,6222.675,9886.0,46053.3100000001,59480.0,6222.675,9886.0,46053.3100000001,59480.0,0.056100981767180924,0.0,0.0,1.6353436185133239,26.0,98.0,1.6353436185133239,26.0,98.0,2.455820476858345,39.0,150.0,0.2505843852267415,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25619448340345957,4.0,20.0,1.069658719027583,16.0,128.0,0.9107059373539037,8.0,466.0,0.0,0.0,0.0
10.0,ldpc15,2399,0.013296729283157923,0.0500208420175073,4.779074614422676,6654.191329720717,20867.09999999997,21156.0,21156.0,8.317739162150895,26.083874999999964,26.445,26.445,0.013296729283157923,0.0500208420175073,0.0,6654.191329720717,20867.09999999997,21156.0,21156.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.0,hybairshadow15,2399,0.013296729283157923,0.0500208420175073,4.779074614422676,21990.30929553981,25396.69999999585,426703.06,428016.0,27.48788661942476,31.74587499999481,533.378825,535.02,0.013296729283157923,0.0500208420175073,0.0500208420175073,6654.191329720717,20867.09999999997,21156.0,21156.0,15336.11796581909,4529.59999999588,405547.06,406860.0,2045.7165485619007,494.29999999955044,54537.0,54537.0,2045.7165485619007,494.29999999955044,54537.0,54537.0,40897.28333333333,54537.0,54537.0,54537.0,40897.28333333333,54537.0,54537.0,54537.0,0.0500208420175073,0.0,0.0,3.057940808670279,2.5999999999976353,72.0,3.057940808670279,2.5999999999976353,72.0,4.69445602334306,3.899999999996453,111.0,0.43184660275114634,0.3999999999996362,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6469362234264276,0.3999999999996362,16.0,4.308461859107962,1.5999999999985448,112.0,16.565235514797834,0.7999999999992724,458.0,0.0,0.0,0.0
10.5,ldpc15,3296,0.009642257335411042,0.03640776699029126,4.580400485436893,6373.863167475728,15279.0,21156.0,21156.0,7.967328959344659,19.09875,26.445,26.445,0.009642257335411042,0.03640776699029126,0.0,6373.863167475728,15279.0,21156.0,21156.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.5,hybairshadow15,3296,0.009642257335411042,0.03640776699029126,4.580400485436893,20782.851334951458,15279.0,426505.25,736859.0,25.97856416868932,19.09875,533.1315625,921.07375,0.009642257335411042,0.03640776699029126,0.03640776699029126,6373.863167475728,15279.0,21156.0,21156.0,14408.988167475729,0.0,405349.25,715703.0,1947.9287014563106,0.0,54537.0,109074.0,1947.9287014563106,0.0,54537.0,109074.0,53503.10833333333,54537.0,54537.0,109074.0,53503.10833333333,54537.0,54537.0,109074.0,0.03640776699029126,0.0,0.0,2.6189320388349513,0.0,144.0,2.6189320388349513,0.0,144.0,4.034890776699029,0.0,222.0,0.36468446601941745,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5776699029126213,0.0,32.0,4.014563106796117,0.0,224.0,16.277305825242717,0.0,916.0,0.0,0.0,0.0
11.0,ldpc15,3954,0.00831090454427095,0.030349013657056147,4.38745574102175,6103.918057663126,13890.0,21156.0,21156.0,7.629897572078907,17.3625,26.445,26.445,0.00831090454427095,0.030349013657056147,0.0,6103.918057663126,13890.0,21156.0,21156.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11.0,hybairshadow15,3954,0.00831090454427095,0.030349013657056147,4.38745574102175,18034.026049570057,13890.0,426353.5,695410.0,22.542532561962574,17.3625,532.941875,869.2625,0.00831090454427095,0.030349013657056147,0.030349013657056147,6103.918057663126,13890.0,21156.0,21156.0,11930.107991906929,0.0,405197.5,674254.0,1612.4739504299444,0.0,54537.0,109074.0,1612.4739504299444,0.0,54537.0,109074.0,53131.01666666667,54537.0,54537.0,109074.0,53131.01666666667,54537.0,54537.0,109074.0,0.030349013657056147,0.0,0.0,2.1780475467880627,0.0,144.0,2.1780475467880627,0.0,144.0,3.355083459787557,0.0,222.0,0.30349013657056145,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4795144157814871,0.0,32.0,3.3262518968133534,0.0,224.0,13.456752655538695,0.0,916.0,0.0,0.0,0.0
11.5,ldpc15,5018,0.005933041936602197,0.023913909924272617,4.189119170984456,5826.362893583101,11112.0,21156.0,21156.0,7.282953616978876,13.89,26.445,26.445,0.005933041936602197,0.023913909924272617,0.0,5826.362893583101,11112.0,21156.0,21156.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11.5,hybairshadow15,5018,0.005933041936602197,0.023913909924272617,4.189119170984456,15207.244320446393,11112.0,426222.56,808641.0,19.00905540055799,13.89,532.7782,1010.80125,0.005933041936602197,0.023913909924272617,0.023913909924272617,5826.362893583101,11112.0,21156.0,21156.0,9380.881426863292,0.0,405066.56,787485.0,1266.5974491829413,0.0,54537.0,109074.0,1266.5974491829413,0.0,54537.0,109074.0,52964.88333333333,54537.0,109074.0,109074.0,52964.88333333333,54537.0,109074.0,109074.0,0.023913909924272617,0.0,0.0,1.7381426863292149,0.0,144.0,1.7381426863292149,0.0,144.0,2.675966520526106,0.0,222.0,0.2427261857313671,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38023116779593463,0.0,32.0,2.620964527700279,0.0,224.0,10.523316062176166,0.0,916.0,0.0,0.0,0.0
