snr_db,decoder,n_frames,ber,fer,avg_iters,hw_cycles_mean,hw_cycles_p95,hw_cycles_p99,hw_cycles_max,hw_time_us_mean,hw_time_us_p95,hw_time_us_p99,hw_time_us_max,ber_stage1,fer_stage1,grand_invocation_rate,stage1_cycles_mean,stage1_cycles_p95,stage1_cycles_p99,stage1_cycles_max,grand_cycles_mean,grand_cycles_p95,grand_cycles_p99,grand_cycles_max,patterns_tested_mean,patterns_tested_p95,patterns_tested_p99,patterns_tested_max,patterns_evaluated_mean,patterns_evaluated_p95,patterns_evaluated_p99,patterns_evaluated_max,patterns_tested_mean_if_grand,patterns_tested_p95_if_grand,patterns_tested_p99_if_grand,patterns_tested_max_if_grand,patterns_evaluated_mean_if_grand,patterns_evaluated_p95_if_grand,patterns_evaluated_p99_if_grand,patterns_evaluated_max_if_grand,pre_solver_attempt_rate,pre_solver_success_rate_total,pre_solver_success_rate_if_attempted,peel_candidate_mean,peel_candidate_p95,peel_candidate_max,peel_residual_vars_mean,peel_residual_vars_p95,peel_residual_vars_max,chase_candidate_mean,chase_candidate_p95,chase_candidate_max,chase_candidates_tested_mean,chase_candidates_tested_p95,chase_candidates_tested_max,chase_ldpc_iters_mean,chase_ldpc_iters_p95,chase_ldpc_iters_max,osd_candidate_mean,osd_candidate_p95,osd_candidate_max,osd_candidates_tested_mean,osd_candidates_tested_p95,osd_candidates_tested_max,osd_free_dim_mean,osd_free_dim_p95,osd_free_dim_max,restart_num_runs_mean,restart_num_runs_p95,restart_num_runs_max,restart_ldpc_iters_mean,restart_ldpc_iters_p95,restart_ldpc_iters_max,restart_anchor_bits_mean,restart_anchor_bits_p95,restart_anchor_bits_max,disagreement_added_mean,disagreement_added_p95,disagreement_added_max
10.0,ldpc15,3884,0.015053270053443348,0.05664263645726056,4.875128733264676,6789.736096807415,21156.0,21156.0,21156.0,8.487170121009267,26.445,26.445,26.445,0.015053270053443348,0.05664263645726056,0.0,6789.736096807415,21156.0,21156.0,21156.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.0,hyb15,3884,0.015053270053443348,0.05664263645726056,4.875128733264676,19824.09140061792,250289.5,251797.68,252031.0,24.7801142507724,312.861875,314.7471,315.03875,0.015053270053443348,0.05664263645726056,0.05664263645726056,6789.736096807415,21156.0,21156.0,21156.0,13034.355303810504,229133.5,230641.68,230875.0,2983.5942327497423,52674.0,52674.0,52674.0,2983.5942327497423,52674.0,52674.0,52674.0,52674.0,52674.0,52674.0,52674.0,52674.0,52674.0,52674.0,52674.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,hybairtd315,3884,0.015053270053443348,0.05664263645726056,4.875128733264676,23406.685890834193,66689.35,512801.53,846247.0,29.258357363542743,83.36168749999999,641.0019125,1057.80875,0.015053270053443348,0.05664263645726056,0.05664263645726056,6789.736096807415,21156.0,21156.0,21156.0,16616.949794026776,45533.35,491645.53,825091.0,1985.1521627188465,4943.0,64025.0,99002.0,1985.1521627188465,4943.0,64025.0,99002.0,35046.95909090909,64025.0,64025.0,99002.0,35046.95909090909,64025.0,64025.0,99002.0,0.05664263645726056,0.0,0.0,3.507466529351184,28.0,162.0,3.507466529351184,28.0,162.0,5.3828527291452115,42.0,250.0,0.5159629248197735,4.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7940267765190525,4.0,40.0,5.4006179196704425,16.0,288.0,24.38928939237899,8.0,1392.0,0.0,0.0,0.0
10.5,ldpc15,5737,0.010422296408757437,0.0383475684155482,4.577653826041485,6370.670733833013,15279.0,21156.0,21156.0,7.963338417291268,19.09875,26.445,26.445,0.010422296408757437,0.0383475684155482,0.0,6370.670733833013,15279.0,21156.0,21156.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.5,hyb15,5737,0.010422296408757437,0.0383475684155482,4.577653826041485,15197.66951368311,15279.0,251739.0,252003.0,18.997086892103887,19.09875,314.67375,315.00375,0.010422296408757437,0.0383475684155482,0.0383475684155482,6370.670733833013,15279.0,21156.0,21156.0,8826.998779850095,0.0,230583.0,230847.0,2019.9198187205857,0.0,52674.0,52674.0,2019.9198187205857,0.0,52674.0,52674.0,52674.0,52674.0,52674.0,52674.0,52674.0,52674.0,52674.0,52674.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.5,hybairtd315,5737,0.010422296408757437,0.0383475684155482,4.577653826041485,23153.440648422522,15279.0,512963.32,914819.0,28.941800810528154,19.09875,641.20415,1143.52375,0.010422296408757437,0.0383475684155482,0.0383475684155482,6370.670733833013,15279.0,21156.0,21156.0,16782.769914589506,0.0,491807.32,893663.0,1989.0568241241067,0.0,64025.0,128050.0,1989.0568241241067,0.0,64025.0,128050.0,51869.17727272727,64025.0,106765.42000000009,128050.0,51869.17727272727,64025.0,106765.42000000009,128050.0,0.0383475684155482,0.0,0.0,3.1451978385915984,0.0,162.0,3.1451978385915984,0.0,162.0,4.852013247341817,0.0,250.0,0.465748649119749,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7725291964441345,0.0,40.0,5.544361164371622,0.0,288.0,26.701063273487886,0.0,1392.0,0.0,0.0,0.0
11.0,ldpc15,6777,0.008756912957418627,0.03246274162608824,4.416851114062269,6145.426737494467,13890.0,21156.0,21156.0,7.681783421868082,17.3625,26.445,26.445,0.008756912957418627,0.03246274162608824,0.0,6145.426737494467,13890.0,21156.0,21156.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11.0,hyb15,6777,0.008756912957418627,0.03246274162608824,4.416851114062269,13616.271654124244,13890.0,251673.48,252045.0,17.020339567655306,17.3625,314.59185,315.05625,0.008756912957418627,0.03246274162608824,0.03246274162608824,6145.426737494467,13890.0,21156.0,21156.0,7470.844916629777,0.0,230517.48,230889.0,1709.942452412572,0.0,52674.0,52674.0,1709.942452412572,0.0,52674.0,52674.0,52674.0,52674.0,52674.0,52674.0,52674.0,52674.0,52674.0,52674.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,hybairtd315,6777,0.008756912957418627,0.03246274162608824,4.416851114062269,20219.4538881511,13890.0,479791.0,1004727.0,25.274317360188878,17.3625,599.73875,1255.90875,0.008756912957418627,0.03246274162608824,0.03246274162608824,6145.426737494467,13890.0,21156.0,21156.0,14074.027150656633,0.0,458635.0,983571.0,1658.6876198908071,0.0,56478.0,128050.0,1658.6876198908071,0.0,56478.0,128050.0,51095.11818181818,64025.0,85861.79000000007,128050.0,51095.11818181818,64025.0,85861.79000000007,128050.0,0.03246274162608824,0.0,0.0,2.6468939058580494,0.0,162.0,2.6468939058580494,0.0,162.0,4.082927549063007,0.0,250.0,0.3919138261767744,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6492548325217647,0.0,40.0,4.655747380846982,0.0,288.0,22.40047218533274,0.0,1392.0,0.0,0.0,0.0
11.5,ldpc15,9385,0.005922144584238351,0.023441662226957913,4.178050079914757,5810.836334576452,11112.0,21156.0,21156.0,7.2635454182205645,13.89,26.445,26.445,0.005922144584238351,0.023441662226957913,0.0,5810.836334576452,11112.0,21156.0,21156.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
