snr_db,decoder,n_frames,ber,fer,avg_iters,hw_cycles_mean,hw_cycles_p95,hw_cycles_p99,hw_cycles_max,hw_time_us_mean,hw_time_us_p95,hw_time_us_p99,hw_time_us_max,ber_stage1,fer_stage1,grand_invocation_rate,stage1_cycles_mean,stage1_cycles_p95,stage1_cycles_p99,stage1_cycles_max,grand_cycles_mean,grand_cycles_p95,grand_cycles_p99,grand_cycles_max,patterns_tested_mean,patterns_tested_p95,patterns_tested_p99,patterns_tested_max,patterns_evaluated_mean,patterns_evaluated_p95,patterns_evaluated_p99,patterns_evaluated_max,patterns_tested_mean_if_grand,patterns_tested_p95_if_grand,patterns_tested_p99_if_grand,patterns_tested_max_if_grand,patterns_evaluated_mean_if_grand,patterns_evaluated_p95_if_grand,patterns_evaluated_p99_if_grand,patterns_evaluated_max_if_grand,pre_solver_attempt_rate,pre_solver_success_rate_total,pre_solver_success_rate_if_attempted,peel_candidate_mean,peel_candidate_p95,peel_candidate_max,peel_residual_vars_mean,peel_residual_vars_p95,peel_residual_vars_max,chase_candidate_mean,chase_candidate_p95,chase_candidate_max,chase_candidates_tested_mean,chase_candidates_tested_p95,chase_candidates_tested_max,chase_ldpc_iters_mean,chase_ldpc_iters_p95,chase_ldpc_iters_max,osd_candidate_mean,osd_candidate_p95,osd_candidate_max,osd_candidates_tested_mean,osd_candidates_tested_p95,osd_candidates_tested_max,osd_free_dim_mean,osd_free_dim_p95,osd_free_dim_max,restart_num_runs_mean,restart_num_runs_p95,restart_num_runs_max,restart_ldpc_iters_mean,restart_ldpc_iters_p95,restart_ldpc_iters_max,restart_anchor_bits_mean,restart_anchor_bits_p95,restart_anchor_bits_max,disagreement_added_mean,disagreement_added_p95,disagreement_added_max
9.0,ldpc15,2242,0.012952282012573304,0.05352363960749331,5.1641391614629795,7190.1703835860835,21156.0,21156.0,21156.0,8.987712979482605,26.445,26.445,26.445,0.012952282012573304,0.05352363960749331,0.0,7190.1703835860835,21156.0,21156.0,21156.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.0,hybairtgsub15,2302,0.013226937342881672,0.052128583840139006,5.174196350999131,62359.72893136403,107385.24999999999,1181961.63,1207327.0,77.94966116420504,134.2315625,1477.4520375000002,1509.15875,0.013232319207892288,0.05386620330147698,0.05386620330147698,7204.249782797568,21156.0,21156.0,21156.0,55155.47914856646,86229.24999999999,1160805.63,1186171.0,8555.35013032146,9401.0,179389.0,179389.0,8555.35013032146,9401.0,179389.0,179389.0,158825.93548387097,179389.0,179389.0,179389.0,158825.93548387097,179389.0,179389.0,179389.0,0.05386620330147698,0.0017376194613379669,0.03225806451612903,4.308427454387489,29.0,87.0,4.308427454387489,29.0,87.0,6.841876629018245,45.0,135.0,0.895742832319722,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2771503040834058,6.0,26.0,15.294526498696785,36.0,316.0,36.69070373588184,12.0,768.0,0.0,0.0,0.0
9.5,ldpc15,3601,0.008689955452873873,0.03332407664537628,4.766453762843654,6631.301305193002,15279.0,21156.0,21156.0,8.289126631491252,19.09875,26.445,26.445,0.008689955452873873,0.03332407664537628,0.0,6631.301305193002,15279.0,21156.0,21156.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.5,hybairtgsub15,3644,0.008760449210504095,0.03293084522502744,4.767837541163557,41800.25137211855,15279.0,1175984.55,1198098.0,52.250314215148194,19.09875,1469.9806875000002,1497.6225,0.008762326739586513,0.033754116355653126,0.033754116355653126,6633.361416026345,15279.0,21156.0,21156.0,35166.88995609221,0.0,1154828.55,1176942.0,5448.68358946213,0.0,179389.0,179389.0,5448.68358946213,0.0,179389.0,179389.0,161422.78861788617,179389.0,179389.0,179389.0,161422.78861788617,179389.0,179389.0,179389.0,0.033754116355653126,0.000823271130625686,0.024390243902439025,2.7296926454445662,0.0,87.0,2.7296926454445662,0.0,87.0,4.309824368825467,0.0,135.0,0.5686059275521405,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8131174533479693,0.0,26.0,9.76344676180022,0.0,316.0,23.50933040614709,0.0,768.0,0.0,0.0,0.0
10.0,ldpc15,3974,0.007158819679990947,0.03019627579265224,4.593608454957222,6390.215148465023,13890.0,21156.0,21156.0,7.987768935581279,17.3625,26.445,26.445,0.007158819679990947,0.03019627579265224,0.0,6390.215148465023,13890.0,21156.0,21156.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.0,hybairtgsub15,4060,0.007052542119684029,0.029556650246305417,4.594827586206897,39237.84458128079,13890.0,1176205.1,1203840.0,49.04730572660098,17.3625,1470.256375,1504.8,0.007085561984434664,0.030295566502463053,0.030295566502463053,6391.94039408867,13890.0,21156.0,21156.0,32845.90418719212,0.0,1155049.1,1182684.0,5099.739655172414,0.0,179389.0,179389.0,5099.739655172414,0.0,179389.0,179389.0,168332.86991869917,179389.0,179389.0,179389.0,168332.86991869917,179389.0,179389.0,179389.0,0.030295566502463053,0.0007389162561576355,0.024390243902439025,2.5214285714285714,0.0,87.0,2.5214285714285714,0.0,87.0,3.979064039408867,0.0,135.0,0.5256157635467981,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7546798029556651,0.0,26.0,9.111330049261083,0.0,316.0,22.010837438423646,0.0,768.0,0.0,0.0,0.0
10.5,ldpc15,5856,0.004906621085540143,0.020491803278688523,4.346653005464481,6044.078893442623,12501.0,21156.0,21156.0,7.555098616803279,15.62625,26.445,26.445,0.004906621085540143,0.020491803278688523,0.0,6044.078893442623,12501.0,21156.0,21156.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.5,hybairtgsub15,5976,0.004933967873466252,0.020080321285140562,4.347222222222222,28381.605756358767,12501.0,1170309.5,1200757.0,35.47700719544846,15.62625,1462.886875,1500.94625,0.004936041008214317,0.020749665327978582,0.020749665327978582,6044.952309236948,12501.0,21156.0,21156.0,22336.653447121822,0.0,1149153.5,1179601.0,3466.255689424364,0.0,179389.0,179389.0,3466.255689424364,0.0,179389.0,179389.0,167051.16129032258,179389.0,179389.0,179389.0,167051.16129032258,179389.0,179389.0,179389.0,0.020749665327978582,0.0006693440428380187,0.03225806451612903,1.7178714859437751,0.0,87.0,1.7178714859437751,0.0,87.0,2.7259036144578315,0.0,135.0,0.3591030789825971,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5155622489959839,0.0,26.0,6.221887550200803,0.0,316.0,15.034136546184738,0.0,768.0,0.0,0.0,0.0
11.0,ldpc15,7437,0.0038592420911594274,0.016135538523598225,4.118865133790507,5726.283178701089,11112.0,21156.0,21156.0,7.157853973376362,13.89,26.445,26.445,0.0038592420911594274,0.016135538523598225,0.0,5726.283178701089,11112.0,21156.0,21156.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11.0,hybairtgsub15,7437,0.0038592420911594274,0.016135538523598225,4.118865133790507,7103.922280489444,11112.0,106225.56,108789.0,8.879902850611805,13.89,132.78195,135.98625,0.0038592420911594274,0.016135538523598225,0.016135538523598225,5726.283178701089,11112.0,21156.0,21156.0,1377.6391017883554,0.0,85069.56,87633.0,151.6901976603469,0.0,9401.0,9401.0,151.6901976603469,0.0,9401.0,9401.0,9401.0,9401.0,9401.0,9401.0,9401.0,9401.0,9401.0,9401.0,0.016135538523598225,0.0,0.0,0.46793061718434853,0.0,29.0,0.46793061718434853,0.0,29.0,0.7260992335619201,0.0,45.0,0.09681323114158935,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09681323114158935,0.0,6.0,0.5808793868495361,0.0,36.0,0.1936264622831787,0.0,12.0,0.0,0.0,0.0
